,cbSize,cioengine,ciodepth,crw,cnproc,cdevice,cdirect,cmemlim,cfile,cbuffer_compress_percentage,cbuffer_compress_chunk,readBW_bytes,readBW,writeBW_bytes,writeBW,avgreadlat_ns,avgreadlat,avgwritelat_ns,avgwritelat,USR_UTIL_perc,SYS_UTIL_perc,IOW_UTIL_perc,IDL_UTIL_perc,CPU_UTIL_perc,diskutil-TOTAL_READS(KB),diskutil-TOTAL_WRITES(KB),diskutil-TOTAL_READS(MB),diskutil-TOTAL_WRITES(MB),diskutil-TOTAL_READS(GB),diskutil-TOTAL_WRITES(GB),diskutil-rMB/s,diskutil-wMB/s,diskutil-AVGRQ-SZ,diskutil-AVGQU-SZ,diskutil-DEV_UTIL
0,64K,sync,1,randread,1,ssd-raid,1,none,none,50,256,666726270,635.8 MB,0,0.0 B,97540.073393,97.5 µs,0.0,0.0 ns,0.614023,0.295402,0.18908,98.9006,1.09943,33554500.0,33558828.0,32768.0,32772.0,32.0,32.0,361.826,368.235,36.8011,1.00955,61.5215
1,64K,sync,1,randread,1,zram-lzo,1,none,none,50,256,2130968641,2.0 GB,0,0.0 B,30118.508272,30.1 µs,0.0,0.0 ns,0.807077,0.561538,0.0113846,98.6188,1.38123,33554432.0,33558892.0,32768.0,32772.0,32.0,32.0,478.92,489.14,16.2384,0.675522,57.3642
2,64K,sync,1,randread,1,zram-zstd,1,none,none,50,256,2368983616,2.2 GB,0,0.0 B,26970.094017,27.0 µs,0.0,0.0 ns,0.339615,0.65141,0.0924359,98.9162,1.08378,33554432.0,33559204.0,32768.0,32772.0,32.0,32.0,201.964,207.423,6.48082,1.32025,84.2013
3,64K,sync,1,randread,1,zram-lz4,1,none,none,50,256,3040415747,2.8 GB,0,0.0 B,20941.713234,20.9 µs,0.0,0.0 ns,0.841967,0.561639,0.0614754,98.5352,1.46475,33554432.0,33558892.0,32768.0,32772.0,32.0,32.0,498.238,520.197,12.19,0.631111,53.7362
4,64K,sync,1,randread,16,ssd-raid,1,none,none,50,256,8924607368,8.3 GB,0,0.0 B,115015.726255,115.0 µs,0.0,0.0 ns,1.31163,0.460233,0.355116,97.8733,2.12674,33554500.0,33559240.0,32768.0,32772.0,32.0,32.0,679.721,728.299,7.27444,2.08733,31.9024
5,64K,sync,1,randread,16,zram-lzo,1,none,none,50,256,11522380405,10.7 GB,0,0.0 B,90007.882961,90.0 µs,0.0,0.0 ns,0.733973,0.579589,0.0286301,98.6582,1.34178,33554432.0,33559376.0,32768.0,32772.0,32.0,32.0,436.907,436.973,4.26667,0.990667,43.8484
6,64K,sync,1,randread,16,zram-zstd,1,none,none,50,256,12056048550,11.2 GB,0,0.0 B,85843.066866,85.8 µs,0.0,0.0 ns,0.23,0.438761,0.0244444,99.3059,0.694103,33554432.0,33560368.0,32768.0,32773.0,32.0,32.0,102.827,138.864,1.08475,0.943008,82.2242
7,64K,sync,1,randread,16,zram-lz4,1,none,none,50,256,11718873931,10.9 GB,0,0.0 B,88546.426397,88.5 µs,0.0,0.0 ns,0.780411,0.548904,0.0330137,98.6371,1.36288,33554432.0,33559416.0,32768.0,32772.0,32.0,32.0,401.237,436.784,3.41333,0.929867,44.2025
8,64K,sync,1,randread,2,ssd-raid,1,none,none,50,256,1329402552,1.2 GB,0,0.0 B,97221.129101,97.2 µs,0.0,0.0 ns,0.803231,0.314923,0.273692,98.6077,1.39231,33554496.0,33558816.0,32768.0,32772.0,32.0,32.0,485.949,489.148,25.0643,1.31672,52.2255
9,64K,sync,1,randread,2,zram-lzo,1,none,none,50,256,4079275598,3.8 GB,0,0.0 B,30655.274611,30.7 µs,0.0,0.0 ns,0.70338,0.504225,0.0639437,98.7279,1.27211,33554432.0,33558948.0,32768.0,32772.0,32.0,32.0,440.593,448.808,8.76699,0.606712,47.4495
10,64K,sync,1,randread,2,zram-zstd,1,none,none,50,256,4813636644,4.5 GB,0,0.0 B,26375.602213,26.4 µs,0.0,0.0 ns,0.26759,0.523282,0.186513,99.0212,0.978769,33554432.0,33559328.0,32768.0,32772.0,32.0,32.0,152.504,166.36,2.59893,1.03995,81.4168
11,64K,sync,1,randread,2,zram-lz4,1,none,none,50,256,5693411494,5.3 GB,0,0.0 B,21835.609636,21.8 µs,0.0,0.0 ns,0.738571,0.482857,0.0645714,98.7139,1.28614,33554432.0,33558948.0,32768.0,32772.0,32.0,32.0,412.574,455.173,6.22208,0.534861,45.0819
12,64K,sync,1,randread,256,ssd-raid,1,none,none,50,256,22398786419,20.9 GB,0,0.0 B,734249.726826,734.2 µs,0.0,0.0 ns,1.21698,0.469302,0.352558,97.9581,2.04186,33554432.0,33569652.0,32768.0,32782.0,32.0,32.0,601.334,728.649,3.00867,7.91467,28.7527
13,64K,sync,1,randread,256,zram-lzo,1,none,none,50,256,11159382386,10.4 GB,0,0.0 B,1387447.354033,1.4 ms,0.0,0.0 ns,0.706164,2.28534,0.0415068,96.969,3.03096,33554432.0,33568984.0,32768.0,32782.0,32.0,32.0,351.8,437.091,3.41333,7.9784,44.3959
14,64K,sync,1,randread,256,zram-zstd,1,none,none,50,256,11848185644,11.0 GB,0,0.0 B,1326391.637243,1.3 ms,0.0,0.0 ns,0.257458,1.04653,0.0432203,98.6514,1.34864,33554432.0,33569380.0,32768.0,32782.0,32.0,32.0,126.97,137.736,1.07563,3.43408,82.1082
15,64K,sync,1,randread,256,zram-lz4,1,none,none,50,256,11963697203,11.1 GB,0,0.0 B,1157459.369793,1.2 ms,0.0,0.0 ns,0.676667,2.3188,0.0289333,96.9765,3.02347,33554432.0,33568792.0,32768.0,32782.0,32.0,32.0,425.559,425.743,4.15584,6.61987,44.1171
16,64K,sync,1,randread,32,ssd-raid,1,none,none,50,256,14528430599,13.5 GB,0,0.0 B,140983.266872,141.0 µs,0.0,0.0 ns,1.31279,0.474651,0.413023,97.8,2.2,33554492.0,33559948.0,32768.0,32773.0,32.0,32.0,728.297,728.136,5.76356,2.35356,29.5387
